County,NumFacilities,Cases_Residents,Cases_Employees,Deaths,Date
ADAMS,1,19,4,4,2020-05-03
ALLEGHENY,34,293,93,79,2020-05-03
ARMSTRONG,1,4,4,0,2020-05-03
BEAVER,3,281,23,61,2020-05-03
BERKS,19,504,66,75,2020-05-03
BUCKS,48,809,152,178,2020-05-03
BUTLER,5,12,10,2,2020-05-03
CAMBRIA,1,1,.,0,2020-05-03
CARBON,2,45,5,12,2020-05-03
CENTRE,3,3,3,0,2020-05-03
CHESTER,31,443,52,104,2020-05-03
CLARION,1,1,1,0,2020-05-03
CLEARFIELD,2,2,.,0,2020-05-03
COLUMBIA,2,79,26,17,2020-05-03
CUMBERLAND,5,173,44,16,2020-05-03
DAUPHIN,3,105,25,21,2020-05-03
DELAWARE,43,959,131,192,2020-05-03
ERIE,4,3,2,0,2020-05-03
FAYETTE,1,3,.,1,2020-05-03
FRANKLIN,5,41,5,2,2020-05-03
INDIANA,3,13,1,4,2020-05-03
LACKAWANNA,14,401,57,69,2020-05-03
LANCASTER,27,428,108,89,2020-05-03
LAWRENCE,2,0,2,0,2020-05-03
LEBANON,5,50,6,5,2020-05-03
LEHIGH,25,424,84,57,2020-05-03
LUZERNE,16,298,37,64,2020-05-03
LYCOMING,2,26,5,1,2020-05-03
MERCER,1,1,.,0,2020-05-03
MIFFLIN,2,1,1,0,2020-05-03
MONROE,8,125,28,22,2020-05-03
MONTGOMERY,79,1453,45,302,2020-05-03
NORTHAMPTON,13,505,108,55,2020-05-03
NORTHUMBERLAND,1,6,2,0,2020-05-03
PHILADELPHIA,52,1370,6,164,2020-05-03
PIKE,2,28,4,5,2020-05-03
SCHUYLKILL,6,26,6,0,2020-05-03
SUSQUEHANNA,3,44,12,9,2020-05-03
UNION,1,0,1,0,2020-05-03
WASHINGTON,3,6,2,1,2020-05-03
WAYNE,1,0,1,0,2020-05-03
WESTMORELAND,8,129,30,23,2020-05-03
YORK,4,8,2,1,2020-05-03
