County,Total_Cases,Negatives,Deaths,Date
Adams,148,1662,4,2020-05-04
Allegheny,1365,17284,102,2020-05-04
Armstrong,52,724,2,2020-05-04
Beaver,458,2161,68,2020-05-04
Bedford,24,241,1,2020-05-04
Berks,2948,6091,118,2020-05-04
Blair,25,1131,0,2020-05-04
Bradford,35,716,2,2020-05-04
Bucks,3356,9323,240,2020-05-04
Butler,180,2461,6,2020-05-04
Cambria,34,1402,1,2020-05-04
Cameron,1,62,0,2020-05-04
Carbon,185,1141,15,2020-05-04
Centre,105,1051,1,2020-05-04
Chester,1560,5883,118,2020-05-04
Clarion,23,502,1,2020-05-04
Clearfield,21,492,0,2020-05-04
Clinton,33,281,0,2020-05-04
Columbia,296,701,13,2020-05-04
Crawford,19,711,0,2020-05-04
Cumberland,375,1744,18,2020-05-04
Dauphin,652,3997,28,2020-05-04
Delaware,4198,9973,258,2020-05-04
Elk,4,181,0,2020-05-04
Erie,91,2133,2,2020-05-04
Fayette,83,1957,4,2020-05-04
Forest,7,30,0,2020-05-04
Franklin,377,3186,8,2020-05-04
Fulton,6,96,0,2020-05-04
Greene,27,451,1,2020-05-04
Huntingdon,57,330,0,2020-05-04
Indiana,70,773,4,2020-05-04
Jefferson,6,340,0,2020-05-04
Juniata,86,173,1,2020-05-04
Lackawanna,1017,2825,87,2020-05-04
Lancaster,1991,8579,113,2020-05-04
Lawrence,65,789,6,2020-05-04
Lebanon,756,2849,10,2020-05-04
Lehigh,2963,7726,83,2020-05-04
Luzerne,2255,5528,101,2020-05-04
Lycoming,86,1233,3,2020-05-04
McKean,6,187,0,2020-05-04
Mercer,66,801,1,2020-05-04
Mifflin,39,740,0,2020-05-04
Monroe,1173,2940,55,2020-05-04
Montgomery,4645,18464,382,2020-05-04
Montour,50,2967,0,2020-05-04
Northampton,2240,6763,94,2020-05-04
Northumberland,100,653,0,2020-05-04
Perry,34,266,1,2020-05-04
Philadelphia,13316,30855,424,2020-05-04
Pike,408,1337,17,2020-05-04
Potter,4,87,0,2020-05-04
Schuylkill,398,2235,7,2020-05-04
Snyder,33,228,1,2020-05-04
Somerset,30,660,1,2020-05-04
Sullivan,1,38,0,2020-05-04
Susquehanna,86,327,9,2020-05-04
Tioga,16,264,1,2020-05-04
Union,38,592,0,2020-05-04
Venango,7,265,0,2020-05-04
Warren,1,186,0,2020-05-04
Washington,120,2300,2,2020-05-04
Wayne,109,576,5,2020-05-04
Westmoreland,403,4979,26,2020-05-04
Wyoming,27,192,2,2020-05-04
York,702,7683,11,2020-05-04
