Date,County,Total_Cases,Negatives,Deaths
2020-05-05,Adams,148,1670,5
2020-05-05,Allegheny,1375,17636,109
2020-05-05,Armstrong,53,753,3
2020-05-05,Beaver,466,2187,73
2020-05-05,Bedford,26,253,1
2020-05-05,Berks,3004,6252,147
2020-05-05,Blair,25,1174,0
2020-05-05,Bradford,35,769,2
2020-05-05,Bucks,3445,9540,283
2020-05-05,Butler,184,2524,6
2020-05-05,Cambria,34,1525,1
2020-05-05,Cameron,2,65,0
2020-05-05,Carbon,185,1161,15
2020-05-05,Centre,106,1071,1
2020-05-05,Chester,1601,5990,149
2020-05-05,Clarion,23,518,1
2020-05-05,Clearfield,21,503,0
2020-05-05,Clinton,33,285,0
2020-05-05,Columbia,298,715,16
2020-05-05,Crawford,19,725,0
2020-05-05,Cumberland,382,1796,25
2020-05-05,Dauphin,695,4176,29
2020-05-05,Delaware,4269,10186,318
2020-05-05,Elk,4,190,0
2020-05-05,Erie,93,2290,2
2020-05-05,Fayette,84,1992,4
2020-05-05,Forest,7,30,0
2020-05-05,Franklin,396,3242,9
2020-05-05,Fulton,7,99,0
2020-05-05,Greene,27,463,1
2020-05-05,Huntingdon,59,340,0
2020-05-05,Indiana,74,782,5
2020-05-05,Jefferson,6,348,0
2020-05-05,Juniata,86,176,1
2020-05-05,Lackawanna,1038,2904,103
2020-05-05,Lancaster,2018,8759,144
2020-05-05,Lawrence,67,810,7
2020-05-05,Lebanon,766,2880,15
2020-05-05,Lehigh,2999,7828,94
2020-05-05,Luzerne,2280,5684,104
2020-05-05,Lycoming,86,1253,4
2020-05-05,McKean,6,194,0
2020-05-05,Mercer,67,817,1
2020-05-05,Mifflin,42,757,0
2020-05-05,Monroe,1186,2978,60
2020-05-05,Montgomery,4687,18738,443
2020-05-05,Montour,50,2970,0
2020-05-05,Northampton,2279,6853,117
2020-05-05,Northumberland,107,683,0
2020-05-05,Perry,34,289,1
2020-05-05,Philadelphia,13563,31631,627
2020-05-05,Pike,412,1365,17
2020-05-05,Potter,4,88,0
2020-05-05,Schuylkill,405,2279,7
2020-05-05,Snyder,33,234,1
2020-05-05,Somerset,30,705,1
2020-05-05,Sullivan,1,41,0
2020-05-05,Susquehanna,86,338,11
2020-05-05,Tioga,16,272,1
2020-05-05,Union,38,601,1
2020-05-05,Venango,7,269,0
2020-05-05,Warren,1,190,0
2020-05-05,Washington,120,2364,2
2020-05-05,Wayne,109,586,5
2020-05-05,Westmoreland,405,5094,27
2020-05-05,Wyoming,27,199,2
2020-05-05,York,716,7846,11
