Date,County,NumFacilities,Cases_Residents,Cases_Employees,Deaths,NH_TotalCases
2020-05-05,Adams,1,19,4,4,23
2020-05-05,Allegheny,35,306,96,86,402
2020-05-05,Armstrong,1,5,4,1,9
2020-05-05,Beaver,3,305,23,66,328
2020-05-05,Berks,19,543,69,99,612
2020-05-05,Bucks,48,869,163,216,1032
2020-05-05,Butler,5,12,10,2,22
2020-05-05,Cambria,1,1,0,0,1
2020-05-05,Carbon,2,48,5,12,53
2020-05-05,Centre,3,4,4,0,8
2020-05-05,Chester,31,498,57,129,555
2020-05-05,Clarion,1,1,1,0,2
2020-05-05,Clearfield,2,2,0,0,2
2020-05-05,Columbia,2,82,27,19,109
2020-05-05,Cumberland,4,181,45,23,226
2020-05-05,Dauphin,3,132,29,21,161
2020-05-05,Delaware,42,1027,150,237,1177
2020-05-05,Erie,4,3,2,0,5
2020-05-05,Fayette,1,3,0,1,3
2020-05-05,Franklin,6,49,6,2,55
2020-05-05,Indiana,3,13,1,4,14
2020-05-05,Lackawanna,14,425,60,85,485
2020-05-05,Lancaster,27,453,114,121,567
2020-05-05,Lawrence,2,0,2,0,2
2020-05-05,Lebanon,5,55,9,9,64
2020-05-05,Lehigh,26,436,87,63,523
2020-05-05,Luzerne,16,308,46,68,354
2020-05-05,Lycoming,2,26,6,3,32
2020-05-05,Mercer,1,1,0,0,1
2020-05-05,Mifflin,2,1,1,0,2
2020-05-05,Monroe,8,127,28,25,155
2020-05-05,Montgomery,80,1509,49,355,1558
2020-05-05,Northampton,13,530,118,75,648
2020-05-05,Northumberland,1,6,2,0,8
2020-05-05,Philadelphia,53,1398,7,261,1405
2020-05-05,Pike,2,29,4,5,33
2020-05-05,Schuylkill,6,31,7,0,38
2020-05-05,Susquehanna,3,44,12,11,56
2020-05-05,Union,1,0,1,0,1
2020-05-05,Washington,3,6,2,1,8
2020-05-05,Wayne,1,0,1,0,1
2020-05-05,Westmoreland,8,129,30,24,159
2020-05-05,York,4,8,2,1,10
