Date,County,Total_Cases,Negatives,Deaths
5/1/20,Adams,140,1566,4
5/1/20,Allegheny,1319,16107,99
5/1/20,Armstrong,52,683,2
5/1/20,Beaver,426,2085,67
5/1/20,Bedford,24,202,1
5/1/20,Berks,2748,5620,117
5/1/20,Blair,23,979,0
5/1/20,Bradford,33,693,2
5/1/20,Bucks,3055,8560,225
5/1/20,Butler,180,2208,6
5/1/20,Cambria,31,1227,1
5/1/20,Cameron,1,50,0
5/1/20,Carbon,181,1068,15
5/1/20,Centre,96,923,1
5/1/20,Chester,1432,5440,111
5/1/20,Clarion,23,489,1
5/1/20,Clearfield,16,436,0
5/1/20,Clinton,32,242,0
5/1/20,Columbia,289,620,13
5/1/20,Crawford,19,689,0
5/1/20,Cumberland,349,1519,17
5/1/20,Dauphin,601,3618,25
5/1/20,Delaware,3848,9064,240
5/1/20,Elk,3,159,0
5/1/20,Erie,87,1912,2
5/1/20,Fayette,81,1794,4
5/1/20,Forest,7,30,0
5/1/20,Franklin,313,2940,7
5/1/20,Fulton,5,84,0
5/1/20,Greene,26,421,0
5/1/20,Huntingdon,40,283,0
5/1/20,Indiana,63,726,4
5/1/20,Jefferson,4,316,0
5/1/20,Juniata,84,148,1
5/1/20,Lackawanna,934,2505,83
5/1/20,Lancaster,1820,7809,106
5/1/20,Lawrence,65,736,6
5/1/20,Lebanon,694,2631,9
5/1/20,Lehigh,2850,7305,80
5/1/20,Luzerne,2173,5009,92
5/1/20,Lycoming,71,1119,1
5/1/20,McKean,6,167,0
5/1/20,Mercer,65,744,1
5/1/20,Mifflin,37,685,0
5/1/20,Monroe,1147,2735,54
5/1/20,Montgomery,4406,17509,362
5/1/20,Montour,48,2958,0
5/1/20,Northampton,2103,6381,94
5/1/20,Northumberland,95,584,0
5/1/20,Perry,32,219,1
5/1/20,Philadelphia,12544,28278,424
5/1/20,Pike,383,1227,15
5/1/20,Potter,4,82,0
5/1/20,Schuylkill,375,2069,6
5/1/20,Snyder,33,201,1
5/1/20,Somerset,26,596,0
5/1/20,Sullivan,1,32,0
5/1/20,Susquehanna,84,281,8
5/1/20,Tioga,16,251,1
5/1/20,Union,37,543,0
5/1/20,Venango,7,251,0
5/1/20,Warren,1,175,0
5/1/20,Washington,116,2103,2
5/1/20,Wayne,102,524,5
5/1/20,Westmoreland,393,4596,25
5/1/20,Wyoming,21,160,2
5/1/20,York,651,7111,11
4/30/20,Adams,137,1531,4
4/30/20,Allegheny,1289,15815,94
4/30/20,Armstrong,51,675,2
4/30/20,Beaver,405,2055,65
4/30/20,Bedford,24,193,1
4/30/20,Berks,2698,5471,117
4/30/20,Blair,23,958,0
4/30/20,Bradford,31,678,2
4/30/20,Bucks,2870,8232,205
4/30/20,Butler,178,2170,6
4/30/20,Cambria,28,1169,1
4/30/20,Cameron,1,49,0
4/30/20,Carbon,175,1042,15
4/30/20,Centre,96,895,1
4/30/20,Chester,1375,5249,111
4/30/20,Clarion,23,480,1
4/30/20,Clearfield,16,423,0
4/30/20,Clinton,31,238,0
4/30/20,Columbia,283,597,13
4/30/20,Crawford,19,687,0
4/30/20,Cumberland,343,1449,16
4/30/20,Dauphin,584,3515,25
4/30/20,Delaware,3696,8677,235
4/30/20,Elk,3,156,0
4/30/20,Erie,87,1892,2
4/30/20,Fayette,80,1765,4
4/30/20,Forest,7,29,0
4/30/20,Franklin,284,2813,6
4/30/20,Fulton,5,83,0
4/30/20,Greene,26,419,0
4/30/20,Huntingdon,38,274,0
4/30/20,Indiana,63,693,4
4/30/20,Jefferson,4,311,0
4/30/20,Juniata,83,139,1
4/30/20,Lackawanna,913,2409,82
4/30/20,Lancaster,1765,7590,104
4/30/20,Lawrence,65,724,6
4/30/20,Lebanon,676,2535,9
4/30/20,Lehigh,2796,7138,74
4/30/20,Luzerne,2143,4849,88
4/30/20,Lycoming,68,1098,0
4/30/20,McKean,6,162,0
4/30/20,Mercer,65,715,1
4/30/20,Mifflin,38,665,0
4/30/20,Monroe,1127,2652,54
4/30/20,Montgomery,4307,17072,351
4/30/20,Montour,47,2957,0
4/30/20,Northampton,2050,6247,94
4/30/20,Northumberland,93,553,0
4/30/20,Perry,30,213,1
4/30/20,Philadelphia,12297,27510,424
4/30/20,Pike,378,1208,14
4/30/20,Potter,4,80,0
4/30/20,Schuylkill,368,1986,6
4/30/20,Snyder,33,192,1
4/30/20,Somerset,26,581,0
4/30/20,Sullivan,1,31,0
4/30/20,Susquehanna,84,272,8
4/30/20,Tioga,16,246,1
4/30/20,Union,36,527,0
4/30/20,Venango,7,246,0
4/30/20,Warren,1,170,0
4/30/20,Washington,115,2079,2
4/30/20,Wayne,100,511,5
4/30/20,Westmoreland,391,4447,25
4/30/20,Wyoming,20,150,2
4/30/20,York,641,6965,9
4/29/20,Adams,130,1481,4
4/29/20,Allegheny,1273,15426,86
4/29/20,Armstrong,50,647,2
4/29/20,Beaver,392,2007,65
4/29/20,Bedford,24,177,1
4/29/20,Berks,2637,5313,116
4/29/20,Blair,23,937,0
4/29/20,Bradford,29,616,2
4/29/20,Bucks,2733,7915,185
4/29/20,Butler,175,2140,6
4/29/20,Cambria,25,1056,1
4/29/20,Cameron,1,49,0
4/29/20,Carbon,170,1006,14
4/29/20,Centre,95,878,1
4/29/20,Chester,1304,5070,101
4/29/20,Clarion,23,477,1
4/29/20,Clearfield,14,414,0
4/29/20,Clinton,30,222,0
4/29/20,Columbia,283,574,14
4/29/20,Crawford,19,678,0
4/29/20,Cumberland,324,1375,15
