Date,County,Total_Cases,Negatives,Deaths
2020-05-01,Adams,140,1566,4
2020-05-01,Allegheny,1319,16107,99
2020-05-01,Armstrong,52,683,2
2020-05-01,Beaver,426,2085,67
2020-05-01,Bedford,24,202,1
2020-05-01,Berks,2748,5620,117
2020-05-01,Blair,23,979,0
2020-05-01,Bradford,33,693,2
2020-05-01,Bucks,3055,8560,225
2020-05-01,Butler,180,2208,6
2020-05-01,Cambria,31,1227,1
2020-05-01,Cameron,1,50,0
2020-05-01,Carbon,181,1068,15
2020-05-01,Centre,96,923,1
2020-05-01,Chester,1432,5440,111
2020-05-01,Clarion,23,489,1
2020-05-01,Clearfield,16,436,0
2020-05-01,Clinton,32,242,0
2020-05-01,Columbia,289,620,13
2020-05-01,Crawford,19,689,0
2020-05-01,Cumberland,349,1519,17
2020-05-01,Dauphin,601,3618,25
2020-05-01,Delaware,3848,9064,240
2020-05-01,Elk,3,159,0
2020-05-01,Erie,87,1912,2
2020-05-01,Fayette,81,1794,4
2020-05-01,Forest,7,30,0
2020-05-01,Franklin,313,2940,7
2020-05-01,Fulton,5,84,0
2020-05-01,Greene,26,421,0
2020-05-01,Huntingdon,40,283,0
2020-05-01,Indiana,63,726,4
2020-05-01,Jefferson,4,316,0
2020-05-01,Juniata,84,148,1
2020-05-01,Lackawanna,934,2505,83
2020-05-01,Lancaster,1820,7809,106
2020-05-01,Lawrence,65,736,6
2020-05-01,Lebanon,694,2631,9
2020-05-01,Lehigh,2850,7305,80
2020-05-01,Luzerne,2173,5009,92
2020-05-01,Lycoming,71,1119,1
2020-05-01,McKean,6,167,0
2020-05-01,Mercer,65,744,1
2020-05-01,Mifflin,37,685,0
2020-05-01,Monroe,1147,2735,54
2020-05-01,Montgomery,4406,17509,362
2020-05-01,Montour,48,2958,0
2020-05-01,Northampton,2103,6381,94
2020-05-01,Northumberland,95,584,0
2020-05-01,Perry,32,219,1
2020-05-01,Philadelphia,12544,28278,424
2020-05-01,Pike,383,1227,15
2020-05-01,Potter,4,82,0
2020-05-01,Schuylkill,375,2069,6
2020-05-01,Snyder,33,201,1
2020-05-01,Somerset,26,596,0
2020-05-01,Sullivan,1,32,0
2020-05-01,Susquehanna,84,281,8
2020-05-01,Tioga,16,251,1
2020-05-01,Union,37,543,0
2020-05-01,Venango,7,251,0
2020-05-01,Warren,1,175,0
2020-05-01,Washington,116,2103,2
2020-05-01,Wayne,102,524,5
2020-05-01,Westmoreland,393,4596,25
2020-05-01,Wyoming,21,160,2
2020-05-01,York,651,7111,11
2020-04-30,Adams,137,1531,4
2020-04-30,Allegheny,1289,15815,94
2020-04-30,Armstrong,51,675,2
2020-04-30,Beaver,405,2055,65
2020-04-30,Bedford,24,193,1
2020-04-30,Berks,2698,5471,117
2020-04-30,Blair,23,958,0
2020-04-30,Bradford,31,678,2
2020-04-30,Bucks,2870,8232,205
2020-04-30,Butler,178,2170,6
2020-04-30,Cambria,28,1169,1
2020-04-30,Cameron,1,49,0
2020-04-30,Carbon,175,1042,15
2020-04-30,Centre,96,895,1
2020-04-30,Chester,1375,5249,111
2020-04-30,Clarion,23,480,1
2020-04-30,Clearfield,16,423,0
2020-04-30,Clinton,31,238,0
2020-04-30,Columbia,283,597,13
2020-04-30,Crawford,19,687,0
2020-04-30,Cumberland,343,1449,16
2020-04-30,Dauphin,584,3515,25
2020-04-30,Delaware,3696,8677,235
2020-04-30,Elk,3,156,0
2020-04-30,Erie,87,1892,2
2020-04-30,Fayette,80,1765,4
2020-04-30,Forest,7,29,0
2020-04-30,Franklin,284,2813,6
2020-04-30,Fulton,5,83,0
2020-04-30,Greene,26,419,0
2020-04-30,Huntingdon,38,274,0
2020-04-30,Indiana,63,693,4
2020-04-30,Jefferson,4,311,0
2020-04-30,Juniata,83,139,1
2020-04-30,Lackawanna,913,2409,82
2020-04-30,Lancaster,1765,7590,104
2020-04-30,Lawrence,65,724,6
2020-04-30,Lebanon,676,2535,9
2020-04-30,Lehigh,2796,7138,74
2020-04-30,Luzerne,2143,4849,88
2020-04-30,Lycoming,68,1098,0
2020-04-30,McKean,6,162,0
2020-04-30,Mercer,65,715,1
2020-04-30,Mifflin,38,665,0
2020-04-30,Monroe,1127,2652,54
2020-04-30,Montgomery,4307,17072,351
2020-04-30,Montour,47,2957,0
2020-04-30,Northampton,2050,6247,94
2020-04-30,Northumberland,93,553,0
2020-04-30,Perry,30,213,1
2020-04-30,Philadelphia,12297,27510,424
2020-04-30,Pike,378,1208,14
2020-04-30,Potter,4,80,0
2020-04-30,Schuylkill,368,1986,6
2020-04-30,Snyder,33,192,1
2020-04-30,Somerset,26,581,0
2020-04-30,Sullivan,1,31,0
